NFO_CODE,NSE_CODE,EXCHANGE
NAUKRI,NSE:NAUKRI,NSE
NAVINFLUOR,NSE:NAVINFLUOR,NSE
NBCC,NSE:NBCC,NSE
NESTLEIND,NSE:NESTLEIND,NSE
NMDC,NSE:NMDC,NSE
NTPC,NSE:NTPC,NSE
OBEROIRLTY,NSE:OBEROIRLTY,NSE
OFSS,NSE:OFSS,NSE
ONGC,NSE:ONGC,NSE
PAGEIND,NSE:PAGEIND,NSE
PEL,NSE:PEL,NSE
PERSISTENT,NSE:PERSISTENT,NSE
PETRONET,NSE:PETRONET,NSE
PFC,NSE:PFC,NSE
PFIZER,NSE:PFIZER,NSE
PIDILITIND,NSE:PIDILITIND,NSE
PIIND,NSE:PIIND,NSE
PNB,NSE:PNB,NSE
POLYCAB,NSE:POLYCAB,NSE
POWERGRID,NSE:POWERGRID,NSE
PVR,NSE:PVR,NSE
RAIN,NSE:RAIN,NSE
RAMCOCEM,NSE:RAMCOCEM,NSE
RBLBANK,NSE:RBLBANK,NSE
RECLTD,NSE:RECLTD,NSE
RELIANCE,NSE:RELIANCE,NSE
SAIL,NSE:SAIL,NSE
SBICARD,NSE:SBICARD,NSE
SBILIFE,NSE:SBILIFE,NSE
SBIN,NSE:SBIN,NSE
SHREECEM,NSE:SHREECEM,NSE
SIEMENS,NSE:SIEMENS,NSE
SRF,NSE:SRF,NSE
SRTRANSFIN,NSE:SRTRANSFIN,NSE
STAR,NSE:STAR,NSE
SUNPHARMA,NSE:SUNPHARMA,NSE
SUNTV,NSE:SUNTV,NSE
SYNGENE,NSE:SYNGENE,NSE
TATACHEM,NSE:TATACHEM,NSE
TATACOMM,NSE:TATACOMM,NSE
TATACONSUM,NSE:TATACONSUM,NSE
TATAMOTORS,NSE:TATAMOTORS,NSE
TATAPOWER,NSE:TATAPOWER,NSE
TATASTEEL,NSE:TATASTEEL,NSE
TCS,NSE:TCS,NSE
TECHM,NSE:TECHM,NSE
TITAN,NSE:TITAN,NSE
TORNTPHARM,NSE:TORNTPHARM,NSE
