,tradingsymbol,exchange,quantity,timeframe,multiplier,entry_price,ltp,entry_time,exit_price,exit_time,target_price,sl_price,Row_Type,profit,Trend,user_id
0,NIFTY2251216000CE,NFO,50,4,1,19.05,19.0,2022-05-12 11:12:26.673735,19.0,2022-05-12 11:12:28.409535,26.65,15.2,F,-2.5000000000000355,BUY,MH0069
1,NIFTY2251216000CE,NFO,50,4,1,17.5,15.8,2022-05-12 11:15:01.185372,15.8,2022-05-12 11:15:30.203637,24.5,14.0,F,-84.99999999999997,BUY,MH0069
2,NIFTY2251216000CE,NFO,50,4,1,15.8,16.0,2022-05-12 11:20:02.119025,,,22.1,12.6,T,9.999999999999964,BUY,MH0069
